Casos de Covid-19 detectats a Osona;;;;;;;;;;;;
Municipis de la comarca. Osona. 2019;;;;;;;;;;;;
Codi;Literal;Cens;Negatius;Positius;Total testos;Taxa negatius;Taxa positius;Taxa testos;;Taxa negativa 10.000 hab.;Taxa positiva 10.000 hab.;Taxa total de testos fets 10.000 hab.
80174;Balenyà;3821;17;37;54;0,44%;0,97%;1,41%;;44,49;96,83;141,32
81509;Orís;315;0;3;3;0,00%;0,95%;0,95%;;0,00;95,24;95,24
89019;Rupit i Pruit;279;0;2;2;0,00%;0,72%;0,72%;;0,00;71,68;71,68
82205;Sant Julià de Vilatorta;3114;10;21;31;0,32%;0,67%;1,00%;;32,11;67,44;99,55
82476;Santa Eulàlia de Riuprimer;1345;3;9;12;0,22%;0,67%;0,89%;;22,30;66,91;89,22
82153;Sant Hipòlit de Voltregà;3484;12;21;33;0,34%;0,60%;0,95%;;34,44;60,28;94,72
170638;Espinelves;215;0;1;1;0,00%;0,47%;0,47%;;0,00;46,51;46,51
82378;Sant Quirze de Besora;2167;2;10;12;0,09%;0,46%;0,55%;;9,23;46,15;55,38
82541;L'Esquirol;2181;12;10;22;0,55%;0,46%;1,01%;;55,02;45,85;100,87
80370;Calldetenes;2489;7;11;18;0,28%;0,44%;0,72%;;28,12;44,19;72,32
80266;El Brull;263;1;1;2;0,38%;0,38%;0,76%;;38,02;38,02;76,05
82016;Sant Boi de Lluçanès;541;4;2;6;0,74%;0,37%;1,11%;;73,94;36,97;110,91
81516;Oristà;541;0;2;2;0,00%;0,37%;0,37%;;0,00;36,97;36,97
81000;Gurb;2681;8;9;17;0,30%;0,34%;0,63%;;29,84;33,57;63,41
82981;Vic;46214;116;151;267;0,25%;0,33%;0,58%;;25,10;32,67;57,77
82785;Taradell;6489;24;20;44;0,37%;0,31%;0,68%;;36,99;30,82;67,81
81120;Manlleu;20573;34;63;97;0,17%;0,31%;0,47%;;16,53;30,62;47,15
82331;Sant Pere de Torelló;2419;2;7;9;0,08%;0,29%;0,37%;;8,27;28,94;37,21
81167;Les Masies de Roda;700;0;2;2;0,00%;0,29%;0,29%;;0,00;28,57;28,57
81173;Les Masies de Voltregà;3141;4;8;12;0,13%;0,25%;0,38%;;12,73;25,47;38,20
81496;Olost;1198;0;3;3;0,00%;0,25%;0,25%;;0,00;25,04;25,04
82830;Tona;8241;24;20;44;0,29%;0,24%;0,53%;;29,12;24,27;53,39
81831;Roda de Ter;6301;8;15;23;0,13%;0,24%;0,37%;;12,70;23,81;36,50
80673;Centelles;7404;20;16;36;0,27%;0,22%;0,49%;;27,01;21,61;48,62
82858;Torelló;14347;14;29;43;0,10%;0,20%;0,30%;;9,76;20,21;29,97
82460;Santa Eugènia de Berga;2248;11;4;15;0,49%;0,18%;0,67%;;48,93;17,79;66,73
81290;Muntanyola;634;1;1;2;0,16%;0,16%;0,32%;;15,77;15,77;31,55
81712;Prats de Lluçanès;2569;4;4;8;0,16%;0,16%;0,31%;;15,57;15,57;31,14
81995;Sant Bartomeu del Grau;858;2;1;3;0,23%;0,12%;0,35%;;23,31;11,66;34,97
81311;Montesquiu;998;4;1;5;0,40%;0,10%;0,50%;;40,08;10,02;50,10
82652;Sant Vicenç de Torelló;2058;2;2;4;0,10%;0,10%;0,19%;;9,72;9,72;19,44
80832;Folgueroles;2267;5;2;7;0,22%;0,09%;0,31%;;22,06;8,82;30,88
82690;Seva;3519;8;3;11;0,23%;0,09%;0,31%;;22,73;8,53;31,26
81094;Lluçà;273;1;0;1;0,37%;0,00%;0,37%;;36,63;0,00;36,63
81115;Malla;273;1;0;1;0,37%;0,00%;0,37%;;36,63;0,00;36,63
83036;Vilanova de Sau;299;1;0;1;0,33%;0,00%;0,33%;;33,44;0,00;33,44
172207;Viladrau;1040;3;0;3;0,29%;0,00%;0,29%;;28,85;0,00;28,85
82248;Sant Martí de Centelles;1167;2;0;2;0,17%;0,00%;0,17%;;17,14;0,00;17,14
81607;Perafita;395;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;;#N/D;#N/D;#N/D
81957;Sant Agustí de Lluçanès;85;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;;#N/D;#N/D;#N/D
82251;Sant Martí d'Albars;112;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;;#N/D;#N/D;#N/D
82418;Sant Sadurní d'Osormort;78;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;;#N/D;#N/D;#N/D
82439;Santa Cecília de Voltregà;187;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;;#N/D;#N/D;#N/D
82536;Santa Maria de Besora;150;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;;#N/D;#N/D;#N/D
82711;Sobremunt;79;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;;#N/D;#N/D;#N/D
82726;Sora;209;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;;#N/D;#N/D;#N/D
82750;Tavèrnoles;316;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;;#N/D;#N/D;#N/D
82802;Tavertet;111;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;;#N/D;#N/D;#N/D
172121;Vidrà;167;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;;#N/D;#N/D;#N/D
80044;Alpens;266;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;;#N/D;#N/D;#N/D
24;Osona;157000;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;;#N/D;#N/D;#N/D
