Literal;Cens;Sospitós;Positiu;Taxa sospitosos;Taxa positius;;Taxa sospitosos 10.000 hab.;Taxa positiva 10.000 hab.
Montesquiu;998;24;21;2,40%;2,10%;;240,48;210,42
Calldetenes;2489;71;41;2,85%;1,65%;;285,26;164,72
Santa Eulàlia de Riuprimer;1345;21;19;1,56%;1,41%;;156,13;141,26
Balenyà;3821;42;45;1,10%;1,18%;;109,92;117,77
Sant Julià de Vilatorta;3114;36;37;1,16%;1,19%;;115,61;118,82
Sant Hipòlit de Voltregà;3484;71;37;2,04%;1,06%;;203,79;106,20
Orís;315;2;3;0,63%;0,95%;;63,49;95,24
Espinelves;215;1;2;0,47%;0,93%;;46,51;93,02
Vic;46214;841;419;1,82%;0,91%;;181,98;90,67
Manlleu;20573;273;173;1,33%;0,84%;;132,70;84,09
Tona;8241;237;70;2,88%;0,85%;;287,59;84,94
El Brull;263;4;2;1,52%;0,76%;;152,09;76,05
Taradell;6489;98;50;1,51%;0,77%;;151,02;77,05
L'Esquirol;2181;123;16;5,64%;0,73%;;563,96;73,36
Malla;273;1;2;0,37%;0,73%;;36,63;73,26
Torelló;14347;169;111;1,18%;0,77%;;117,79;77,37
Rupit i Pruit;279;1;2;0,36%;0,72%;;35,84;71,68
Vilanova de Sau;299;2;2;0,67%;0,67%;;66,89;66,89
Sant Quirze de Besora;2167;61;15;2,81%;0,69%;;281,50;69,22
Santa Eugènia de Berga;2248;34;14;1,51%;0,62%;;151,25;62,28
Roda de Ter;6301;148;36;2,35%;0,57%;;234,88;57,13
Oristà;541;2;3;0,37%;0,55%;;36,97;55,45
Sant Vicenç de Torelló;2058;14;11;0,68%;0,53%;;68,03;53,45
Gurb;2681;86;14;3,21%;0,52%;;320,78;52,22
Les Masies de Voltregà;3141;29;16;0,92%;0,51%;;92,33;50,94
Les Masies de Roda;700;6;4;0,86%;0,57%;;85,71;57,14
Olost;1198;7;5;0,58%;0,42%;;58,43;41,74
Sant Pere de Torelló;2419;46;10;1,90%;0,41%;;190,16;41,34
Sant Boi de Lluçanès;541;149;2;27,54%;0,37%;;2754,16;36,97
Centelles;7404;77;29;1,04%;0,39%;;104,00;39,17
Seva;3519;45;9;1,28%;0,26%;;127,88;25,58
Prats de Lluçanès;2569;91;7;3,54%;0,27%;;354,22;27,25
Sant Martí de Centelles;1167;13;3;1,11%;0,26%;;111,40;25,71
Folgueroles;2267;24;4;1,06%;0,18%;;105,87;17,64
Muntanyola;634;7;2;1,10%;0,32%;;110,41;31,55
Sant Bartomeu del Grau;858;10;1;1,17%;0,12%;;116,55;11,66
Tavertet;111;0;0;0,00%;0,00%;;0,00;0,00
Tavèrnoles;316;2;0;0,63%;0,00%;;63,29;0,00
Sobremunt;79;0;0;0,00%;0,00%;;0,00;0,00
Sant Martí d'Albars;112;0;0;0,00%;0,00%;;0,00;0,00
Santa Maria de Besora;150;0;0;0,00%;0,00%;;0,00;0,00
Sant Agustí de Lluçanès;85;0;0;0,00%;0,00%;;0,00;0,00
Lluçà;273;4;0;1,47%;0,00%;;146,52;0,00
Perafita;395;1;0;0,25%;0,00%;;25,32;0,00
Santa Cecília de Voltregà;187;0;0;0,00%;0,00%;;0,00;0,00
Sora;209;0;0;0,00%;0,00%;;0,00;0,00
Viladrau;1040;10;0;0,96%;0,00%;;96,15;0,00
Alpens;266;2;0;0,75%;0,00%;;75,19;0,00
Sant Sadurní d'Osormort;78;0;0;0,00%;0,00%;;0,00;0,00
Vidrà;167;0;0;0,00%;0,00%;;0,00;0,00
