Literal;Positiu;Dona;Home;Percentatge Dones;Percentatge homes
Alpens;0;0;0;#¡DIV/0!;#¡DIV/0!
Balenyà;46;35;11;76,09%;23,91%
Calldetenes;43;20;23;46,51%;53,49%
Centelles;31;19;12;61,29%;38,71%
El Brull;2;2;0;100,00%;0,00%
Espinelves;2;1;1;50,00%;50,00%
Folgueroles;4;4;0;100,00%;0,00%
Gurb;18;12;6;66,67%;33,33%
L'Esquirol;16;10;6;62,50%;37,50%
Les Masies de Roda;5;3;2;60,00%;40,00%
Les Masies de Voltregà;16;9;7;56,25%;43,75%
Lluçà;0;0;0;#¡DIV/0!;#¡DIV/0!
Malla;2;1;1;50,00%;50,00%
Manlleu;184;113;71;61,41%;38,59%
Montesquiu;21;13;8;61,90%;38,10%
Muntanyola;2;2;0;100,00%;0,00%
Olost;6;3;3;50,00%;50,00%
Orís;3;2;1;66,67%;33,33%
Oristà;3;2;1;66,67%;33,33%
Perafita;0;0;0;#¡DIV/0!;#¡DIV/0!
Prats de Lluçanès;8;4;4;50,00%;50,00%
Roda de Ter;37;26;11;70,27%;29,73%
Rupit i Pruit;2;2;0;100,00%;0,00%
Sant Agustí de Lluçanès;0;0;0;#¡DIV/0!;#¡DIV/0!
Sant Bartomeu del Grau;1;0;1;0,00%;100,00%
Sant Boi de Lluçanès;2;1;1;50,00%;50,00%
Sant Hipòlit de Voltregà;39;24;15;61,54%;38,46%
Sant Julià de Vilatorta;39;23;16;58,97%;41,03%
Sant Martí d'Albars;0;0;0;#¡DIV/0!;#¡DIV/0!
Sant Martí de Centelles;3;0;3;0,00%;100,00%
Sant Pere de Torelló;11;5;6;45,45%;54,55%
Sant Quirze de Besora;15;10;5;66,67%;33,33%
Sant Sadurní d'Osormort;0;0;0;#¡DIV/0!;#¡DIV/0!
Sant Vicenç de Torelló;11;8;3;72,73%;27,27%
Santa Cecília de Voltregà;0;0;0;#¡DIV/0!;#¡DIV/0!
Santa Eugènia de Berga;15;9;6;60,00%;40,00%
Santa Eulàlia de Riuprimer;20;10;10;50,00%;50,00%
Santa Maria de Besora;0;0;0;#¡DIV/0!;#¡DIV/0!
Seva;9;7;2;77,78%;22,22%
Sobremunt;0;0;0;#¡DIV/0!;#¡DIV/0!
Sora;0;0;0;#¡DIV/0!;#¡DIV/0!
Taradell;52;29;23;55,77%;44,23%
Tavèrnoles;0;0;0;#¡DIV/0!;#¡DIV/0!
Tavertet;0;0;0;#¡DIV/0!;#¡DIV/0!
Tona;75;44;31;58,67%;41,33%
Torelló;115;70;45;60,87%;39,13%
Vic;451;259;192;57,43%;42,57%
Vidrà;0;0;0;#¡DIV/0!;#¡DIV/0!
Viladrau;0;0;0;#¡DIV/0!;#¡DIV/0!
Vilanova de Sau;2;1;1;50,00%;50,00%
