Literal;Cens;Sospitós;Positiu;Taxa sospitosos;Taxa positius;;Taxa sospitosos 10.000 hab.;Taxa positiva 10.000 hab.
Gombrèn;188;1;2;0,53%;1,06%;;53,19;106,38
Campdevànol;3223;41;17;1,27%;0,53%;;127,21;52,75
Ripoll;10686;97;54;0,91%;0,51%;;90,77;50,53
Sant Joan de les Abadesses;3232;29;16;0,90%;0,50%;;89,73;49,50
Planoles;288;2;1;0,69%;0,35%;;69,44;34,72
Vilallonga de Ter;398;1;1;0,25%;0,25%;;25,13;25,13
Ribes de Freser;1754;9;5;0,51%;0,29%;;51,31;28,51
Llanars;505;3;1;0,59%;0,20%;;59,41;19,80
Sant Pau de Segúries;697;4;1;0,57%;0,14%;;57,39;14,35
Camprodon;2281;13;3;0,57%;0,13%;;56,99;13,15
Pardines;162;0;0;0,00%;0,00%;;0,00;0,00
Vallfogona de Ripollès;206;2;0;0,97%;0,00%;;97,09;0,00
Molló;337;4;0;1,19%;0,00%;;118,69;0,00
Toses;171;0;0;0,00%;0,00%;;0,00;0,00
Campelles;139;0;0;0,00%;0,00%;;0,00;0,00
Setcases;177;0;0;0,00%;0,00%;;0,00;0,00
Queralbs;191;0;0;0,00%;0,00%;;0,00;0,00
Les Llosses;218;1;0;0,46%;0,00%;;45,87;0,00
Ogassa;234;1;1;0,43%;0,43%;;42,74;42,74
