Literal;Positiu;Dona;Home;Percentatge Dones;Percentatge homes
Campdevànol;19;8;11;42,11%;57,89%
Campelles;0;0;0;#¡DIV/0!;#¡DIV/0!
Camprodon;3;2;1;66,67%;33,33%
Gombrèn;2;0;2;0,00%;100,00%
Les Llosses;0;0;0;#¡DIV/0!;#¡DIV/0!
Llanars;1;0;1;0,00%;100,00%
Molló;0;0;0;#¡DIV/0!;#¡DIV/0!
Ogassa;1;0;1;0,00%;100,00%
Pardines;0;0;0;#¡DIV/0!;#¡DIV/0!
Planoles;1;0;1;0,00%;100,00%
Queralbs;0;0;0;#¡DIV/0!;#¡DIV/0!
Ribes de Freser;5;2;3;40,00%;60,00%
Ripoll;57;30;27;52,63%;47,37%
Sant Joan de les Abadesses;19;10;9;52,63%;47,37%
Sant Pau de Segúries;1;1;0;100,00%;0,00%
Setcases;0;0;0;#¡DIV/0!;#¡DIV/0!
Toses;0;0;0;#¡DIV/0!;#¡DIV/0!
Vallfogona de Ripollès;0;0;0;#¡DIV/0!;#¡DIV/0!
Vilallonga de Ter;1;0;1;0,00%;100,00%
